network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,37,1478,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,78659,1000,10.0,114,1000,True
0,hiermod,38,1712,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,74313,1000,10.0,112,999,True
0,hiermod,39,811,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,74638,1000,10.0,118,997,True
0,hiermod,0,1739,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117292,1000,10.0,154,999,True
0,hiermod,1,1657,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115680,1000,10.0,152,1000,True
0,hiermod,2,1945,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116491,1000,10.0,148,998,True
0,hiermod,3,240,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119448,1000,10.0,156,1000,True
0,hiermod,4,581,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,114409,1000,10.0,149,1000,True
0,hiermod,5,189,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119819,1000,10.0,148,998,True
0,hiermod,6,1990,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116375,1000,10.0,153,1000,True
0,hiermod,7,960,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116612,1000,10.0,140,1000,True
0,hiermod,8,1067,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117694,1000,10.0,145,1000,True
0,hiermod,9,1634,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117127,1000,10.0,156,999,True
0,hiermod,10,984,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119304,1000,10.0,151,1000,True
0,hiermod,11,30,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116439,1000,10.0,148,1000,True
0,hiermod,12,1398,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119334,1000,10.0,151,1000,True
0,hiermod,13,1319,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118149,1000,10.0,153,1000,True
0,hiermod,14,1796,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117008,1000,10.0,153,999,True
0,hiermod,15,293,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117707,1000,10.0,150,1000,True
0,hiermod,16,742,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,111910,1000,10.0,146,1000,True
0,hiermod,17,1477,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115974,1000,10.0,151,1000,True
0,hiermod,18,1502,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115763,1000,10.0,151,1000,True
0,hiermod,19,329,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116169,1000,10.0,148,1000,True
