network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,38,161,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,164,49,0.49,7,45,False
0,hiermod,39,307,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,58,17,0.17,8,13,False
0,hiermod,0,1739,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,286,77,0.77,16,70,False
0,hiermod,1,1657,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,177,39,0.39,13,37,False
0,hiermod,2,821,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1359,350,3.5,15,331,False
0,hiermod,3,1620,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,183,68,0.68,7,60,False
0,hiermod,4,66,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,283,64,0.64,15,61,False
0,hiermod,5,1679,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1152,268,2.68,18,255,False
0,hiermod,6,474,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,253,67,0.67,14,62,False
0,hiermod,7,438,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1888,507,5.07,17,469,False
0,hiermod,8,1005,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1178,297,2.97,12,271,False
0,hiermod,9,1148,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2530,660,6.6000000000000005,18,622,False
0,hiermod,10,181,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,257,51,0.51,14,48,False
0,hiermod,11,141,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1360,308,3.08,14,294,False
0,hiermod,12,667,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,243,64,0.64,9,60,False
0,hiermod,13,877,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,917,242,2.42,15,230,False
0,hiermod,14,531,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2790,705,7.05,24,655,False
0,hiermod,15,1070,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,250,74,0.74,13,67,False
0,hiermod,16,1176,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,938,242,2.42,15,231,False
0,hiermod,17,791,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,436,141,1.41,8,130,False
0,hiermod,18,784,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2030,450,4.5,19,431,False
0,hiermod,19,1543,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,174,59,0.59,6,53,False
0,hiermod,20,718,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1427,334,3.34,18,319,False
0,hiermod,21,1039,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1138,315,3.15,12,300,False
0,hiermod,22,327,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,937,221,2.21,20,205,False
0,hiermod,23,1129,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,178,56,0.56,10,49,False
