mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,gain,seed,p_ext,T
53.82125,0.026910625,1.0,0.0,69.5367984375,8.33887273182053,0.15493643740753651,1.015311148183548,0.9861142639661162,0.3954455267980901,0.0036380256246518307,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.4,0,0.015,8.0
53.79,0.026895,1.0,0.0,65.9259,8.119476584115505,0.1509476963025721,1.0145010011472144,0.9874444654983978,0.412786149350819,0.006145313734147277,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.4,1,0.015,8.0
71.87,0.035935,1.0,0.0,96.74310000000001,9.83580703348739,0.13685553128547728,1.0110145273949913,0.9904819910051937,0.4596402579497726,0.0046667420353325275,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.6,0,0.015,8.0
72.06625,0.036033125,1.0,0.0,101.3993609375,10.069724968314675,0.13972872139613948,1.0112628213188455,0.991018586847431,0.49886175071566713,0.004524089668320785,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.6,1,0.015,8.0
72.385,0.0361925,1.0,0.0,98.12427500000001,9.905769783313158,0.13684837719573145,1.0109273884653298,0.9906080214689872,0.4649505019267637,0.0046405856116966526,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.8,0,0.015,8.0
72.48375,0.036241875,1.0,0.0,102.53973593750001,10.126190593579603,0.1397029071147597,1.0113833061468913,0.9909662808136049,0.49437615238554844,0.004393489956484983,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,0.8,1,0.015,8.0
72.395,0.0361975,1.0,0.0,98.241475,9.911683762106215,0.13691116461228095,1.0109313737192458,0.9906044490635038,0.4652448869372683,0.004642836234535099,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.0,0,0.015,8.0
72.4875,0.03624375,1.0,0.0,102.56234375,10.127306835975693,0.13971107895810386,1.0113864349196777,0.9909613958025456,0.49417981201601024,0.004392246826075815,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.0,1,0.015,8.0
72.395,0.0361975,1.0,0.0,98.241475,9.911683762106215,0.13691116461228095,1.0109313737192458,0.9906044490635038,0.4652448869372683,0.004642836234535099,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.2,0,0.015,8.0
72.4875,0.03624375,1.0,0.0,102.56234375,10.127306835975693,0.13971107895810386,1.0113864349196777,0.9909613958025456,0.49417981201601024,0.004392246826075815,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.2,1,0.015,8.0
72.395,0.0361975,1.0,0.0,98.241475,9.911683762106215,0.13691116461228095,1.0109313737192458,0.9906044490635038,0.4652448869372683,0.004642836234535099,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.4,0,0.015,8.0
72.4875,0.03624375,1.0,0.0,102.56234375,10.127306835975693,0.13971107895810386,1.0113864349196777,0.9909613958025456,0.49417981201601024,0.004392246826075815,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.4,1,0.015,8.0
72.395,0.0361975,1.0,0.0,98.241475,9.911683762106215,0.13691116461228095,1.0109313737192458,0.9906044490635038,0.4652448869372683,0.004642836234535099,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.6,0,0.015,8.0
72.4875,0.03624375,1.0,0.0,102.56234375,10.127306835975693,0.13971107895810386,1.0113864349196777,0.9909613958025456,0.49417981201601024,0.004392246826075815,1,,,,,,,,,,,,,,,,,,,high_drive_start_p_ext,1.6,1,0.015,8.0
