mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,gain,seed,p_ext,T
4.12625,0.002063125,0.965,0.035,6.012810937500001,2.452103370068236,0.5942692202526851,1.2201731976045567,0.8671921717858113,0.4877831722278284,0.00645756997734684,25,132.04,657.0,56.0,327.0,611.8799999999997,1.2119556027409568,10.926428571428369,30.88,146.0,15.0,69.6,134.95999999999992,1.114114645353735,8.997333333332728,,,,,weak_drive,0.4,0,0.0005,8.0
4.55375,0.002276875,0.98125,0.01875,6.272110937499999,2.504418283254616,0.5499683301134375,1.194912499631415,0.880413135102589,0.4862914827199928,0.010629778326978413,15,242.86666666666667,540.0,268.0,492.0,534.68,0.7302874504855195,1.9950746268656638,52.333333333333336,121.0,55.0,105.8,119.32,0.7440842735485113,2.169454545454506,,,,,weak_drive,0.4,1,0.0005,8.0
4.39875,0.002199375,0.98125,0.01875,5.4397484375,2.332326829048622,0.5302249114062157,1.1849259088412454,0.886086166885279,0.48283509052201407,0.0078074710548681585,16,219.9375,756.0,138.0,425.0,709.9499999999999,0.9122438566852,5.144565217391267,49.0625,161.0,34.0,98.5,153.49999999999997,0.8653564225228303,4.514705882352807,,,,,weak_drive,0.4,2,0.0005,8.0
8.3975,0.00419875,0.99625,0.00375,12.866993749999999,3.587059206369474,0.4271579882547242,1.0982004428175554,0.9372776802197308,0.5890384276150261,0.02691214511696593,2,,,,,,,,,,,,,,,,,,,weak_drive,0.6,0,0.0005,8.0
9.08625,0.004543125,1.0,0.0,14.8113109375,3.8485466006662827,0.42355719913780265,1.0943685780000592,0.9377994117722608,0.5903572699893517,0.03680072406165293,1,,,,,,,,,,,,,,,,,,,weak_drive,0.6,1,0.0005,8.0
8.74375,0.004371875,1.0,0.0,13.1205859375,3.6222349368173234,0.41426561107269866,1.0846421176336922,0.9471345944284557,0.6365872687599966,0.021991126116287986,1,,,,,,,,,,,,,,,,,,,weak_drive,0.6,2,0.0005,8.0
8.75125,0.004375625,0.99625,0.00375,12.949373437499998,3.5985237858738683,0.41120111822579136,1.087724360741023,0.9409699885324309,0.5854592730754562,0.02425880242661049,2,,,,,,,,,,,,,,,,,,,weak_drive,0.8,0,0.0005,8.0
9.8175,0.00490875,1.0,0.0,13.764193750000002,3.7100126347493756,0.37789790015268626,1.061639176122908,0.9554932200695028,0.6418928996762093,0.040123421191970134,1,,,,,,,,,,,,,,,,,,,weak_drive,0.8,1,0.0005,8.0
9.65125,0.004825625,1.0,0.0,12.5046234375,3.5361876982846936,0.3663968603325297,1.0700730757564128,0.9487431474004523,0.5647810164734898,0.009541624114665312,1,,,,,,,,,,,,,,,,,,,weak_drive,0.8,2,0.0005,8.0
8.755,0.0043775,0.99625,0.00375,12.984974999999999,3.6034670804657005,0.4115896151302443,1.0879250314615725,0.9407853381200497,0.5848603599198432,0.024287388308339847,2,,,,,,,,,,,,,,,,,,,weak_drive,1.0,0,0.0005,8.0
9.8175,0.00490875,1.0,0.0,13.764193750000002,3.7100126347493756,0.37789790015268626,1.061639176122908,0.9554932200695028,0.6418928996762093,0.040123421191970134,1,,,,,,,,,,,,,,,,,,,weak_drive,1.0,1,0.0005,8.0
9.65125,0.004825625,1.0,0.0,12.5046234375,3.5361876982846936,0.3663968603325297,1.0700730757564128,0.9487431474004523,0.5647810164734898,0.009541624114665312,1,,,,,,,,,,,,,,,,,,,weak_drive,1.0,2,0.0005,8.0
8.755,0.0043775,0.99625,0.00375,12.984974999999999,3.6034670804657005,0.4115896151302443,1.0879250314615725,0.9407853381200497,0.5848603599198432,0.024287388308339847,2,,,,,,,,,,,,,,,,,,,weak_drive,1.2,0,0.0005,8.0
9.8175,0.00490875,1.0,0.0,13.764193750000002,3.7100126347493756,0.37789790015268626,1.061639176122908,0.9554932200695028,0.6418928996762093,0.040123421191970134,1,,,,,,,,,,,,,,,,,,,weak_drive,1.2,1,0.0005,8.0
9.65125,0.004825625,1.0,0.0,12.5046234375,3.5361876982846936,0.3663968603325297,1.0700730757564128,0.9487431474004523,0.5647810164734898,0.009541624114665312,1,,,,,,,,,,,,,,,,,,,weak_drive,1.2,2,0.0005,8.0
8.755,0.0043775,0.99625,0.00375,12.984974999999999,3.6034670804657005,0.4115896151302443,1.0879250314615725,0.9407853381200497,0.5848603599198432,0.024287388308339847,2,,,,,,,,,,,,,,,,,,,weak_drive,1.4,0,0.0005,8.0
9.8175,0.00490875,1.0,0.0,13.764193750000002,3.7100126347493756,0.37789790015268626,1.061639176122908,0.9554932200695028,0.6418928996762093,0.040123421191970134,1,,,,,,,,,,,,,,,,,,,weak_drive,1.4,1,0.0005,8.0
9.65125,0.004825625,1.0,0.0,12.5046234375,3.5361876982846936,0.3663968603325297,1.0700730757564128,0.9487431474004523,0.5647810164734898,0.009541624114665312,1,,,,,,,,,,,,,,,,,,,weak_drive,1.4,2,0.0005,8.0
8.755,0.0043775,0.99625,0.00375,12.984974999999999,3.6034670804657005,0.4115896151302443,1.0879250314615725,0.9407853381200497,0.5848603599198432,0.024287388308339847,2,,,,,,,,,,,,,,,,,,,weak_drive,1.6,0,0.0005,8.0
9.8175,0.00490875,1.0,0.0,13.764193750000002,3.7100126347493756,0.37789790015268626,1.061639176122908,0.9554932200695028,0.6418928996762093,0.040123421191970134,1,,,,,,,,,,,,,,,,,,,weak_drive,1.6,1,0.0005,8.0
9.65125,0.004825625,1.0,0.0,12.5046234375,3.5361876982846936,0.3663968603325297,1.0700730757564128,0.9487431474004523,0.5647810164734898,0.009541624114665312,1,,,,,,,,,,,,,,,,,,,weak_drive,1.6,2,0.0005,8.0
