mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,gain,trial,seed_size,cascade_total_size,cascade_duration_bins,cascade_duration_s,extinct_by_end,hit_large_fraction
1.75,0.000875,0.8571428571428571,0.14285714285714285,1.2946428571428572,1.1378237372909994,0.6501849927373424,0.9718749999993589,0.8360655737704918,0.4411420866412622,0.002895134108337189,5,19.6,41.0,11.0,37.8,40.68,0.7411844815238348,3.698181818181482,9.6,17.0,6.0,17.0,17.0,0.6339635022792232,2.833333333332861,,,,,seeded_no_ext,0.4,0,1,98.0,48,0.48,True,
2.283333333333333,0.0011416666666666667,0.8766666666666667,0.12333333333333334,3.076388888888889,1.7539637649874324,0.7681593131328457,1.1055116321330674,0.8188464662875711,0.5013316744585363,0.003421265813008746,26,26.346153846153847,97.0,18.0,63.5,96.5,0.9766990698500271,5.361111111110814,10.115384615384615,40.0,6.0,24.0,38.75,0.9664154667636007,6.458333333332257,,,,,seeded_no_ext,0.4,1,1,685.0,263,2.63,False,
1.900990099009901,0.0009504950495049505,0.7920792079207921,0.2079207920792079,2.8614841682188032,1.691592199148129,0.8898479797597456,1.0959672619040153,0.7155963302752294,0.3531731598346269,0.0024938798909025315,13,14.76923076923077,57.0,9.0,35.80000000000001,54.95999999999998,1.09536091686452,6.106666666665986,6.153846153846154,22.0,4.0,12.800000000000004,21.039999999999992,0.940744386111186,5.259999999998683,,,,,seeded_no_ext,0.4,2,1,192.0,80,0.8,True,
2.46,0.00123,0.8866666666666667,0.11333333333333333,3.2417333333333334,1.8004814171030294,0.7319030150822348,1.0984411500442581,0.8320775026910656,0.5177153413477458,0.0073178182359245805,30,24.6,115.0,14.5,51.2,112.39000000000001,1.1259795714723342,7.7510344827580875,8.866666666666667,36.0,6.0,16.1,34.260000000000005,0.928989890793723,5.709999999999049,,,,,seeded_no_ext,0.4,3,1,738.0,266,2.66,False,
2.335195530726257,0.0011675977653631286,0.8603351955307262,0.13966480446927373,3.396023844449299,1.8428303894958156,0.7891546404775353,1.1136312100590626,0.8162878787878788,0.5192457962301203,0.01298011654009693,20,20.9,149.0,6.5,39.800000000000026,131.32999999999987,1.5653247342881937,20.204615384612257,7.7,44.0,4.5,14.100000000000001,38.48999999999997,1.2114175446690898,8.553333333331425,,,,,seeded_no_ext,0.4,4,1,418.0,154,1.54,True,
2.0985915492957745,0.0010492957746478873,0.8450704225352113,0.15492957746478872,3.0466177345764724,1.7454563112769315,0.8317275040308931,1.0695734126977006,0.8175803402646503,0.5521234754538855,0.007014988447086732,15,19.866666666666667,65.0,8.0,40.6,61.639999999999986,0.9387939998403332,7.7049999999990355,8.0,21.0,7.0,14.999999999999998,20.439999999999998,0.7041543391424989,2.9199999999995825,,,,,seeded_no_ext,0.4,5,1,298.0,120,1.2,True,
2.0833333333333335,0.0010416666666666667,0.7916666666666666,0.20833333333333334,3.826388888888889,1.9561157657175836,0.9389355675439893,1.1679197994979529,0.7755102040816326,0.5113296458690957,0.002757470109992598,3,,,,,,,,,,,,,,,,,,,seeded_no_ext,0.4,6,1,50.0,19,0.19,True,
2.349264705882353,0.0011746323529411764,0.8713235294117647,0.12867647058823528,3.27874945934256,1.81073174693066,0.7707653132471517,1.094429375124903,0.8303384872544922,0.5434293189347453,0.012504880011881889,27,23.666666666666668,177.0,11.0,53.20000000000002,147.35999999999981,1.4867885649026666,13.396363636362402,8.777777777777779,55.0,6.0,17.400000000000002,46.15999999999995,1.2271301567995727,7.693333333332042,,,,,seeded_no_ext,0.4,7,1,639.0,237,2.37,True,
1.95,0.000975,0.75,0.25,3.0475000000000003,1.7457090250096092,0.8952353974403662,1.278888888887895,0.7153284671532847,0.3421507848610358,0.0,2,,,,,,,,,,,,,,,,,,,seeded_no_ext,0.4,8,1,39.0,15,0.15,True,
2.3469387755102042,0.001173469387755102,0.8877551020408163,0.11224489795918367,3.124531445231153,1.7676344206965289,0.7531659705573305,1.1382047071694747,0.816193853427896,0.4899266266273457,0.008396899765671543,17,27.058823529411764,121.0,17.0,54.4,110.44,1.0749554877142693,6.496470588234913,10.235294117647058,37.0,8.0,20.8,34.599999999999994,0.8863254091335687,4.324999999999458,,,,,seeded_no_ext,0.4,9,1,460.0,174,1.74,True,
2.1904761904761907,0.0010952380952380953,0.8571428571428571,0.14285714285714285,3.2653061224489783,1.8070158058105021,0.8249419983044177,1.2901675484998831,0.702755905511811,0.2570463095266952,0.0,6,23.0,37.0,21.0,36.0,36.9,0.46625240412013663,1.7571428571427736,9.0,12.0,9.0,12.0,12.0,0.30765273566359824,1.3333333333331852,,,,,seeded_no_ext,0.4,10,1,138.0,54,0.54,True,
3.857142857142857,0.0019285714285714286,0.8571428571428571,0.14285714285714285,15.931972789115651,3.9914875408944535,1.03483010319459,1.1876780626773924,0.9057187017001546,0.812514627172667,0.018225308645759473,1,,,,,,,,,,,,,,,,,,,seeded_no_ext,0.4,11,1,81.0,18,0.18,True,
2.159090909090909,0.0010795454545454546,0.8333333333333334,0.16666666666666666,2.8762052341597792,1.6959378627059953,0.7854870100950445,1.126208513707785,0.7829145728643216,0.4278402064594931,0.004062822736156853,14,20.357142857142858,53.0,14.5,42.7,51.69999999999999,0.904943504015616,3.5655172413790637,7.857142857142857,24.0,6.0,16.400000000000002,23.089999999999996,0.8959043632547892,3.8483333333326915,,,,,seeded_no_ext,0.4,12,1,285.0,110,1.1,True,
2.5,0.00125,0.8571428571428571,0.14285714285714285,3.9357142857142855,1.9838634745652952,0.7935453898258006,1.1249272486765813,0.8022440392706872,0.48195021453598064,0.00486832029658679,6,29.166666666666668,73.0,25.0,59.5,71.65,0.8565521774258769,2.865999999999886,10.0,23.0,9.0,19.0,22.6,0.7461009761865718,2.511111111110832,,,,,seeded_no_ext,0.4,13,1,175.0,60,0.6,True,
2.688888888888889,0.0013444444444444445,0.8962962962962963,0.1037037037037037,4.584691358024691,2.141189239190383,0.7963100476324908,1.1502197297644914,0.8376175548589342,0.5789002360883208,0.00591175897969986,10,36.3,90.0,30.5,83.7,89.37,0.804582229456123,2.9301639344261337,12.1,30.0,9.5,24.599999999999998,29.46,0.7199575760254673,3.101052631578621,,,,,seeded_no_ext,0.4,14,1,363.0,121,1.21,True,
