slope,p_ext,network_density,mean_pop_count,mean_cell_activity,active_frac,silent_frac,n_avalanches,pop_var,pop_cv,branching_ratio_regression,branching_ratio_mean,lag1_autocorr,autocorr_time_s,av_size_mean,av_size_max,av_size_q90,av_size_q99,av_size_q99_q50,av_size_cv,av_dur_mean_bins,av_dur_max_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_q99_q50,av_dur_cv,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,branching_closeness,candidate_score
2.25,0.00018961293447875924,0.0004295833333333333,6.8116666666666665,0.0034058333333333336,0.9954166666666667,0.004583333333333333,3.6666666666666665,11.027837500000002,0.4807980137518076,0.9344443780268702,1.1267470784970615,0.6432079842952559,0.15306861612440606,657.25,2510.0,2472.9,2506.29,87.93999999999691,1.6068018521036542,98.75,373.0,356.9,371.39,39.0936842105222,1.5408698072382587,,,,,continuous,-0.06555562197312981,5.447089832327999
2.5,0.00018961293447875924,0.00022266666666666667,2.4604166666666667,0.0012302083333333334,0.9020833333333332,0.09791666666666667,60.666666666666664,2.882459895833333,0.6925604376661033,0.7937406337634445,1.1690294168013724,0.36943780448716296,0.0038257693847152108,36.06076200794511,370.3333333333333,75.63333333333334,268.86333333333266,12.46519459298809,1.4972762759733342,13.003626459612375,123.0,28.933333333333334,90.44666666666647,10.17409523809404,1.4101629168049004,-1.3929410503824153,0.6950081641321818,-1.558646158575727,0.7439260660594479,separated-events,-0.2062593662365555,-0.5276493217764135
2.5,7.910852728077119e-05,0.00022266666666666667,2.0733333333333333,0.0010366666666666666,0.8633333333333333,0.1366666666666667,80.33333333333333,2.2771010416666666,0.7327552638513501,0.7738123768350759,1.110608663315088,0.35768866337712896,0.006915210178720013,22.778614926054278,316.0,44.76666666666667,193.29999999999927,16.72630303030152,1.7095866671204953,9.345462713387242,117.66666666666667,17.000000000000004,71.45666666666641,11.309238095236223,1.5588047521061112,-1.5534313264966038,0.8641930369741565,-1.8930286540298153,0.7903404606523127,separated-events,-0.22618762316492413,-0.7692020061209758
2.5,5.744990565600497e-06,0.00022266666666666667,1.8470833333333332,0.0009235416666666666,0.8358333333333334,0.16416666666666666,90.66666666666667,2.0173953125,0.7746239490725824,0.7613155855582923,1.0718597426335268,0.3685908380936331,0.01128848859389525,18.1708544329234,291.6666666666667,38.23333333333334,167.06999999999994,18.2381071428551,1.8330187212358096,8.115061088336951,115.66666666666667,14.333333333333341,65.97999999999998,12.489166666664206,1.6394033612891719,-1.8114922365413488,0.826956897134279,-1.8588377812784238,0.918599111298838,separated-events,-0.23868441444170774,-0.776545714829927
2.5,3.300491659883871e-05,0.00022266666666666667,1.9400000000000002,0.00097,0.85,0.15,84.33333333333333,2.1370625,0.7584769824335513,0.7658275765450419,1.0978328298086808,0.3642997156930397,0.009604334209649576,20.395684789067143,301.6666666666667,42.56666666666667,181.6133333333335,17.843228114476346,1.7666007728304038,8.795614230540702,117.66666666666667,16.36666666666667,69.63000000000005,11.542999999997983,1.6040796945644658,-1.7141613995014973,0.8948123134304028,-1.84965344955065,0.8683331190782351,separated-events,-0.23417242345495815,-0.7849607102082166
2.5,2.3968709947764157e-06,0.00022266666666666667,1.8345833333333335,0.0009172916666666666,0.8325,0.16749999999999998,92.33333333333333,1.9948869791666664,0.775697931343213,0.7600187535857734,1.068891199724865,0.36645938226876895,0.011624100579652444,17.864517632705674,291.6666666666667,36.40000000000001,164.28999999999994,19.235892857140573,1.8389293360475982,7.997258797170173,115.66666666666667,14.300000000000004,64.79999999999997,12.19416666666428,1.633601850056717,-1.7871821023003835,0.8012822776857932,-1.9821261340206753,0.9301133119500689,separated-events,-0.23998124641422658,-0.798519881960847
2.5,1e-06,0.00022266666666666667,1.8320833333333333,0.0009160416666666667,0.8320833333333333,0.1679166666666667,92.33333333333333,1.9871692708333333,0.7752961021247385,0.7598333174142938,1.0690709374629928,0.3654279563067502,0.01162238103138976,17.843750479566626,291.6666666666667,36.16666666666668,164.25333333333325,19.23130952380724,1.8392265463873543,7.994143532372665,115.66666666666667,14.300000000000004,64.79999999999997,12.19416666666428,1.6343387019436129,-1.7905944531490903,0.8090780303674162,-1.9741341944965598,0.9289647518544856,separated-events,-0.24016668258570617,-0.8004424499857694
2.5,1.3770001251951984e-05,0.00022266666666666667,1.885,0.0009425000000000001,0.8424999999999999,0.1575,87.0,2.056490625,0.7662919051252693,0.7639888122426074,1.085615311002446,0.3666709616119272,0.010744781420100666,19.42369489285377,295.3333333333333,41.333333333333336,175.9133333333335,17.239074074072374,1.7815887902931105,8.565920891154535,115.66666666666667,15.933333333333337,68.56000000000006,11.724999999997848,1.595433332138727,-1.6033986583772457,0.7391538671814865,-1.817125362439798,0.878041799365146,separated-events,-0.2360111877573926,-0.836475044629047
3.0,0.00045447774288657946,7.95e-05,2.30875,0.001154375,0.9049999999999999,0.09500000000000001,66.0,2.2948942708333333,0.6561609707935534,0.7320022639258431,1.2069885205752682,0.11138782950410382,0.0008633209849124679,28.280882217645768,130.33333333333334,57.26666666666667,109.59666666666665,5.719484593837227,0.9183967570407358,11.108387649236038,50.666666666666664,21.96666666666667,43.05333333333332,5.494545454544728,0.9081011010066264,-1.8884340594914546,0.7361759943008596,-1.7893419005928681,0.7245643603754331,separated-events,-0.2679977360741569,-3.49844587257248
3.0,0.00018961293447875924,7.95e-05,1.72,0.00086,0.8241666666666667,0.1758333333333333,110.66666666666667,1.705920833333333,0.7593867816776397,0.6827414025090622,1.0711501438081876,0.13574998986508732,0.0007429055182326372,12.443193316287266,62.666666666666664,26.900000000000002,55.03,6.579212962962174,0.9989998288284977,5.96343884464888,33.0,12.233333333333334,25.46666666666667,6.942777777775851,0.9605857233211784,-1.7653139838072078,0.8588921984690163,-2.128730089166664,0.8375344923423732,separated-events,-0.31725859749093777,-4.721505247739908
