gain,cascade_total_size_mean,cascade_total_size_q90,cascade_total_size_q99,cascade_duration_s_mean,cascade_duration_s_q90,extinct_frac,mean_pop_count,active_frac,branching_ratio_regression,branching_ratio_mean,pop_var,autocorr_time_s
0.4,296.4,690.3000000000001,752.5799999999999,1.098,2.631,0.85,2.251732467174392,0.8351749846329966,0.801359759096304,1.1201173603682797,3.74109299433141,0.006679739048257227
0.6,1201.55,1678.4000000000003,1886.3,2.4170000000000003,2.982,0.3,4.4254621628087865,0.9215039032339319,0.9062029634751487,1.140552735421582,7.527100861532359,0.044038625142902105
0.8,1392.65,1917.2,1989.56,2.404,3.0,0.2,4.914116959064327,0.9304348370927318,0.8935034904683332,1.1521147219071504,7.083463945292079,0.04055271956924464
1.0,1429.1,1922.3,2005.28,2.57,3.0,0.15,5.034163003663004,0.9468856505813028,0.9063370057148352,1.1466892042467662,7.652335387797689,0.03877016737344026
1.2,1170.9,1856.3,1952.51,2.0650000000000004,3.0,0.35,4.675799780841447,0.9281505109005108,0.8976930576400045,1.1418216702034683,6.971228125755532,0.027528344725430837
1.4,1154.0,1807.4,2004.1399999999996,2.121,2.991,0.3,4.401767273576097,0.8969462535014007,0.8777394491879736,1.0997095283265181,6.748289201548812,0.03442232784601783
1.6,955.95,1938.0,2054.19,1.798,2.991,0.45,3.9669304753426298,0.8798143143498847,0.8917368936105226,1.1176428406969414,6.312812635481409,0.02821522894789299
