mean_pop_count,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,mean_cell_activity,L4_local_n_modules,L4_local_n_avalanches_total,L4_local_module_active_frac_mean,L4_local_module_active_frac_median,L4_local_module_active_frac_q90,L4_local_module_pop_var_mean,L4_local_module_pop_var_q90,L4_local_module_n_avalanches_mean,L4_local_module_n_avalanches_q90,L4_local_module_branching_ratio_regression_mean,L4_local_module_branching_ratio_regression_median,L4_local_module_lag1_autocorr_mean,L4_local_module_autocorr_time_s_mean,L4_local_av_size_mean,L4_local_av_size_max,L4_local_av_size_q50,L4_local_av_size_q90,L4_local_av_size_q99,L4_local_av_size_cv,L4_local_av_size_q99_q50,L4_local_av_dur_mean_bins,L4_local_av_dur_max_bins,L4_local_av_dur_q50_bins,L4_local_av_dur_q90_bins,L4_local_av_dur_q99_bins,L4_local_av_dur_cv,L4_local_av_dur_q99_q50,L4_local_rough_size_slope,L4_local_rough_size_r2,L4_local_rough_duration_slope,L4_local_rough_duration_r2,L5_local_n_modules,L5_local_n_avalanches_total,L5_local_module_active_frac_mean,L5_local_module_active_frac_median,L5_local_module_active_frac_q90,L5_local_module_pop_var_mean,L5_local_module_pop_var_q90,L5_local_module_n_avalanches_mean,L5_local_module_n_avalanches_q90,L5_local_module_branching_ratio_regression_mean,L5_local_module_branching_ratio_regression_median,L5_local_module_lag1_autocorr_mean,L5_local_module_autocorr_time_s_mean,L5_local_av_size_mean,L5_local_av_size_max,L5_local_av_size_q50,L5_local_av_size_q90,L5_local_av_size_q99,L5_local_av_size_cv,L5_local_av_size_q99_q50,L5_local_av_dur_mean_bins,L5_local_av_dur_max_bins,L5_local_av_dur_q50_bins,L5_local_av_dur_q90_bins,L5_local_av_dur_q99_bins,L5_local_av_dur_cv,L5_local_av_dur_q99_q50,L5_local_rough_size_slope,L5_local_rough_size_r2,L5_local_rough_duration_slope,L5_local_rough_duration_r2,L6_local_n_modules,L6_local_n_avalanches_total,L6_local_module_active_frac_mean,L6_local_module_active_frac_median,L6_local_module_active_frac_q90,L6_local_module_pop_var_mean,L6_local_module_pop_var_q90,L6_local_module_n_avalanches_mean,L6_local_module_n_avalanches_q90,L6_local_module_branching_ratio_regression_mean,L6_local_module_branching_ratio_regression_median,L6_local_module_lag1_autocorr_mean,L6_local_module_autocorr_time_s_mean,L6_local_av_size_mean,L6_local_av_size_max,L6_local_av_size_q50,L6_local_av_size_q90,L6_local_av_size_q99,L6_local_av_size_cv,L6_local_av_size_q99_q50,L6_local_av_dur_mean_bins,L6_local_av_dur_max_bins,L6_local_av_dur_q50_bins,L6_local_av_dur_q90_bins,L6_local_av_dur_q99_bins,L6_local_av_dur_cv,L6_local_av_dur_q99_q50,L6_local_rough_size_slope,L6_local_rough_size_r2,L6_local_rough_duration_slope,L6_local_rough_duration_r2,slope,p_ext,seed,T,n_neurons,network_density,mean_degree,e_w,i_w,theta,global_avalanche_threshold,local_avalanche_threshold
492.5112609863281,0.99875,0.00125,26484.033203125,162.73915100097656,0.33042725920677185,1.1739588975906372,0.9057543873786926,0.034498525221254184,0.0,1,,,,,,,,,,,,,,,,,,,0.246255625,62,5617,0.8688910603523254,0.9674999713897705,0.9973750114440918,49.61623001098633,73.62086486816406,90.59677124023438,199.0,0.5477281808853149,0.5538497567176819,-0.05744658038020134,0.0,69.73847198486328,6383.0,32.0,32.0,32.0,6.951009002423222,0.9999999999999687,7.672601222991943,799.0,3.0,3.0,4.0,7.926099015132699,1.333333333332889,,,,,31,618,0.9661291241645813,0.9950000047683716,0.9975000023841858,185.72457885742188,243.05859375,19.935483932495117,2.0,0.5695412158966064,0.580202579498291,-0.0324690081179142,0.0,633.8527221679688,12761.0,64.0,64.0,12737.0,4.128825273039306,199.0156249999969,38.770225524902344,799.0,3.0,3.0,797.0,4.2360293059927185,265.6666666665781,,,,,15,16,0.9906666874885559,0.9950000047683716,0.9975000023841858,728.2464599609375,910.9423828125,1.0666667222976685,1.0,0.5768750309944153,0.5621647834777832,-0.019387779757380486,0.0,23690.9375,25521.0,25472.0,25503.5,25518.900390625,0.25869407144081996,1.0018412527726523,743.0,799.0,796.0,798.0,798.8499755859375,0.25811506761676656,1.0035803713391163,,,,,1.5,1e-07,0,8.0,2000,0.00852025,17.0405,21.4115,21.675,7.5,0.0,0.0
492.96124267578125,1.0,0.0,77955.078125,279.2043762207031,0.5663819909095764,1.4725379943847656,0.7584125995635986,0.0009464144008393623,0.0,1,,,,,,,,,,,,,,,,,,,0.246480625,62,4255,0.890967845916748,0.9962499737739563,0.9987499713897705,46.25373077392578,62.032501220703125,68.62903594970703,200.0,0.5723593831062317,0.562368631362915,-0.03553321957588196,0.0,92.6766128540039,6400.0,32.0,32.0,32.0,6.654507595056579,0.9999999999999687,10.38589859008789,800.0,3.0,3.0,4.0,7.44242876572735,1.333333333332889,,,,,31,438,0.9715323448181152,0.9987499713897705,1.0,174.82676696777344,220.69000244140625,14.129032135009766,2.0,0.5881909728050232,0.5792982578277588,-0.024434175342321396,0.0,900.3173217773438,12800.0,64.0,64.0,12798.0,3.4908780195567672,199.9687499999969,55.009132385253906,800.0,3.0,3.0,799.0,3.5836803553652894,266.3333333332445,,,,,15,16,0.997083306312561,0.9987499713897705,1.0,692.6594848632812,845.720458984375,1.0666667222976685,1.0,0.5907455086708069,0.5790186524391174,-0.01921187900006771,0.0,23873.5625,25598.0,25593.0,25597.5,25598.0,0.25707417429583457,1.0001953659203688,747.8125,800.0,799.0,800.0,800.0,0.2572477628434493,1.0012515644555682,,,,,1.5,1e-07,1,8.0,2000,0.00854,17.08,21.4115,21.675,7.5,0.0,0.0
491.8712463378906,1.0,0.0,90600.9375,300.9999084472656,0.611948549747467,1.4906890392303467,0.7165727615356445,-0.04589965350169548,0.0,1,,,,,,,,,,,,,,,,,,,0.245935625,62,5608,0.8755441904067993,0.9649999737739563,0.9987499713897705,46.483333587646484,71.5487289428711,90.45161437988281,200.0,0.5698090195655823,0.574232816696167,-0.04868069291114807,0.0,69.86180114746094,6399.0,32.0,32.0,32.0,6.9647460293988495,0.9999999999999687,7.743758678436279,800.0,3.0,3.0,3.0,7.9112690710778235,0.9999999999996666,,,,,31,1219,0.943992018699646,0.9987499713897705,0.9987499713897705,175.7115478515625,234.22242736816406,39.32258224487305,200.0,0.5827822089195251,0.5728556513786316,-0.044091712683439255,0.0,321.398681640625,12799.0,64.0,64.0,12791.8203125,5.545163162416452,199.8721923828094,19.20508575439453,800.0,3.0,3.0,799.0,5.83386784541348,266.3333333332445,,,,,15,214,0.9774999618530273,0.9987499713897705,1.0,695.2987060546875,898.0164184570312,14.266666412353516,1.0,0.5863823294639587,0.5653002262115479,-0.034097712486982346,0.0,1776.5513916015625,25594.0,127.0,127.0,25587.869140625,3.51010495132136,201.4792845718488,54.81308364868164,800.0,3.0,3.0,799.8699951171875,3.573045742265481,266.6233317056403,,,,,1.5,1e-07,2,8.0,2000,0.00859175,17.1835,21.4115,21.675,7.5,0.0,0.0
492.5112609863281,0.99875,0.00125,26484.033203125,162.73915100097656,0.33042725920677185,1.1739588975906372,0.9057543873786926,0.034498525221254184,0.0,1,,,,,,,,,,,,,,,,,,,0.246255625,62,5617,0.8688910603523254,0.9674999713897705,0.9973750114440918,49.61623001098633,73.62086486816406,90.59677124023438,199.0,0.5477281808853149,0.5538497567176819,-0.05744658038020134,0.0,69.73847198486328,6383.0,32.0,32.0,32.0,6.951009002423222,0.9999999999999687,7.672601222991943,799.0,3.0,3.0,4.0,7.926099015132699,1.333333333332889,,,,,31,618,0.9661291241645813,0.9950000047683716,0.9975000023841858,185.72457885742188,243.05859375,19.935483932495117,2.0,0.5695412158966064,0.580202579498291,-0.0324690081179142,0.0,633.8527221679688,12761.0,64.0,64.0,12737.0,4.128825273039306,199.0156249999969,38.770225524902344,799.0,3.0,3.0,797.0,4.2360293059927185,265.6666666665781,,,,,15,16,0.9906666874885559,0.9950000047683716,0.9975000023841858,728.2464599609375,910.9423828125,1.0666667222976685,1.0,0.5768750309944153,0.5621647834777832,-0.019387779757380486,0.0,23690.9375,25521.0,25472.0,25503.5,25518.900390625,0.25869407144081996,1.0018412527726523,743.0,799.0,796.0,798.0,798.8499755859375,0.25811506761676656,1.0035803713391163,,,,,1.5,3.7594234926789446e-07,0,8.0,2000,0.00852025,17.0405,21.4115,21.675,7.5,0.0,0.0
492.96124267578125,1.0,0.0,77955.078125,279.2043762207031,0.5663819909095764,1.4725379943847656,0.7584125995635986,0.0009464144008393623,0.0,1,,,,,,,,,,,,,,,,,,,0.246480625,62,4255,0.890967845916748,0.9962499737739563,0.9987499713897705,46.25373077392578,62.032501220703125,68.62903594970703,200.0,0.5723593831062317,0.562368631362915,-0.03553321957588196,0.0,92.6766128540039,6400.0,32.0,32.0,32.0,6.654507595056579,0.9999999999999687,10.38589859008789,800.0,3.0,3.0,4.0,7.44242876572735,1.333333333332889,,,,,31,438,0.9715323448181152,0.9987499713897705,1.0,174.82676696777344,220.69000244140625,14.129032135009766,2.0,0.5881909728050232,0.5792982578277588,-0.024434175342321396,0.0,900.3173217773438,12800.0,64.0,64.0,12798.0,3.4908780195567672,199.9687499999969,55.009132385253906,800.0,3.0,3.0,799.0,3.5836803553652894,266.3333333332445,,,,,15,16,0.997083306312561,0.9987499713897705,1.0,692.6594848632812,845.720458984375,1.0666667222976685,1.0,0.5907455086708069,0.5790186524391174,-0.01921187900006771,0.0,23873.5625,25598.0,25593.0,25597.5,25598.0,0.25707417429583457,1.0001953659203688,747.8125,800.0,799.0,800.0,800.0,0.2572477628434493,1.0012515644555682,,,,,1.5,3.7594234926789446e-07,1,8.0,2000,0.00854,17.08,21.4115,21.675,7.5,0.0,0.0
491.8712463378906,1.0,0.0,90600.9375,300.9999084472656,0.611948549747467,1.4906890392303467,0.7165727615356445,-0.04589965350169548,0.0,1,,,,,,,,,,,,,,,,,,,0.245935625,62,5608,0.8755441904067993,0.9649999737739563,0.9987499713897705,46.483333587646484,71.5487289428711,90.45161437988281,200.0,0.5698090195655823,0.574232816696167,-0.04868069291114807,0.0,69.86180114746094,6399.0,32.0,32.0,32.0,6.9647460293988495,0.9999999999999687,7.743758678436279,800.0,3.0,3.0,3.0,7.9112690710778235,0.9999999999996666,,,,,31,1219,0.943992018699646,0.9987499713897705,0.9987499713897705,175.7115478515625,234.22242736816406,39.32258224487305,200.0,0.5827822089195251,0.5728556513786316,-0.044091712683439255,0.0,321.398681640625,12799.0,64.0,64.0,12791.8203125,5.545163162416452,199.8721923828094,19.20508575439453,800.0,3.0,3.0,799.0,5.83386784541348,266.3333333332445,,,,,15,214,0.9774999618530273,0.9987499713897705,1.0,695.2987060546875,898.0164184570312,14.266666412353516,1.0,0.5863823294639587,0.5653002262115479,-0.034097712486982346,0.0,1776.5513916015625,25594.0,127.0,127.0,25587.869140625,3.51010495132136,201.4792845718488,54.81308364868164,800.0,3.0,3.0,799.8699951171875,3.573045742265481,266.6233317056403,,,,,1.5,3.7594234926789446e-07,2,8.0,2000,0.00859175,17.1835,21.4115,21.675,7.5,0.0,0.0
492.5112609863281,0.99875,0.00125,26484.033203125,162.73915100097656,0.33042725920677185,1.1739588975906372,0.9057543873786926,0.034498525221254184,0.0,1,,,,,,,,,,,,,,,,,,,0.246255625,62,5617,0.8688910603523254,0.9674999713897705,0.9973750114440918,49.61623001098633,73.62086486816406,90.59677124023438,199.0,0.5477281808853149,0.5538497567176819,-0.05744658038020134,0.0,69.73847198486328,6383.0,32.0,32.0,32.0,6.951009002423222,0.9999999999999687,7.672601222991943,799.0,3.0,3.0,4.0,7.926099015132699,1.333333333332889,,,,,31,618,0.9661291241645813,0.9950000047683716,0.9975000023841858,185.72457885742188,243.05859375,19.935483932495117,2.0,0.5695412158966064,0.580202579498291,-0.0324690081179142,0.0,633.8527221679688,12761.0,64.0,64.0,12737.0,4.128825273039306,199.0156249999969,38.770225524902344,799.0,3.0,3.0,797.0,4.2360293059927185,265.6666666665781,,,,,15,16,0.9906666874885559,0.9950000047683716,0.9975000023841858,728.2464599609375,910.9423828125,1.0666667222976685,1.0,0.5768750309944153,0.5621647834777832,-0.019387779757380486,0.0,23690.9375,25521.0,25472.0,25503.5,25518.900390625,0.25869407144081996,1.0018412527726523,743.0,799.0,796.0,798.0,798.8499755859375,0.25811506761676656,1.0035803713391163,,,,,1.5,1.4133264997306353e-06,0,8.0,2000,0.00852025,17.0405,21.4115,21.675,7.5,0.0,0.0
492.96124267578125,1.0,0.0,77955.078125,279.2043762207031,0.5663819909095764,1.4725379943847656,0.7584125995635986,0.0009464144008393623,0.0,1,,,,,,,,,,,,,,,,,,,0.246480625,62,4255,0.890967845916748,0.9962499737739563,0.9987499713897705,46.25373077392578,62.032501220703125,68.62903594970703,200.0,0.5723593831062317,0.562368631362915,-0.03553321957588196,0.0,92.6766128540039,6400.0,32.0,32.0,32.0,6.654507595056579,0.9999999999999687,10.38589859008789,800.0,3.0,3.0,4.0,7.44242876572735,1.333333333332889,,,,,31,438,0.9715323448181152,0.9987499713897705,1.0,174.82676696777344,220.69000244140625,14.129032135009766,2.0,0.5881909728050232,0.5792982578277588,-0.024434175342321396,0.0,900.3173217773438,12800.0,64.0,64.0,12798.0,3.4908780195567672,199.9687499999969,55.009132385253906,800.0,3.0,3.0,799.0,3.5836803553652894,266.3333333332445,,,,,15,16,0.997083306312561,0.9987499713897705,1.0,692.6594848632812,845.720458984375,1.0666667222976685,1.0,0.5907455086708069,0.5790186524391174,-0.01921187900006771,0.0,23873.5625,25598.0,25593.0,25597.5,25598.0,0.25707417429583457,1.0001953659203688,747.8125,800.0,799.0,800.0,800.0,0.2572477628434493,1.0012515644555682,,,,,1.5,1.4133264997306353e-06,1,8.0,2000,0.00854,17.08,21.4115,21.675,7.5,0.0,0.0
491.8712463378906,1.0,0.0,90600.9375,300.9999084472656,0.611948549747467,1.4906890392303467,0.7165727615356445,-0.04589965350169548,0.0,1,,,,,,,,,,,,,,,,,,,0.245935625,62,5608,0.8755441904067993,0.9649999737739563,0.9987499713897705,46.483333587646484,71.5487289428711,90.45161437988281,200.0,0.5698090195655823,0.574232816696167,-0.04868069291114807,0.0,69.86180114746094,6399.0,32.0,32.0,32.0,6.9647460293988495,0.9999999999999687,7.743758678436279,800.0,3.0,3.0,3.0,7.9112690710778235,0.9999999999996666,,,,,31,1219,0.943992018699646,0.9987499713897705,0.9987499713897705,175.7115478515625,234.22242736816406,39.32258224487305,200.0,0.5827822089195251,0.5728556513786316,-0.044091712683439255,0.0,321.398681640625,12799.0,64.0,64.0,12791.8203125,5.545163162416452,199.8721923828094,19.20508575439453,800.0,3.0,3.0,799.0,5.83386784541348,266.3333333332445,,,,,15,214,0.9774999618530273,0.9987499713897705,1.0,695.2987060546875,898.0164184570312,14.266666412353516,1.0,0.5863823294639587,0.5653002262115479,-0.034097712486982346,0.0,1776.5513916015625,25594.0,127.0,127.0,25587.869140625,3.51010495132136,201.4792845718488,54.81308364868164,800.0,3.0,3.0,799.8699951171875,3.573045742265481,266.6233317056403,,,,,1.5,1.4133264997306353e-06,2,8.0,2000,0.00859175,17.1835,21.4115,21.675,7.5,0.0,0.0
492.5112609863281,0.99875,0.00125,26484.033203125,162.73915100097656,0.33042725920677185,1.1739588975906372,0.9057543873786926,0.034498525221254184,0.0,1,,,,,,,,,,,,,,,,,,,0.246255625,62,5617,0.8688910603523254,0.9674999713897705,0.9973750114440918,49.61623001098633,73.62086486816406,90.59677124023438,199.0,0.5477281808853149,0.5538497567176819,-0.05744658038020134,0.0,69.73847198486328,6383.0,32.0,32.0,32.0,6.951009002423222,0.9999999999999687,7.672601222991943,799.0,3.0,3.0,4.0,7.926099015132699,1.333333333332889,,,,,31,618,0.9661291241645813,0.9950000047683716,0.9975000023841858,185.72457885742188,243.05859375,19.935483932495117,2.0,0.5695412158966064,0.580202579498291,-0.0324690081179142,0.0,633.8527221679688,12761.0,64.0,64.0,12737.0,4.128825273039306,199.0156249999969,38.770225524902344,799.0,3.0,3.0,797.0,4.2360293059927185,265.6666666665781,,,,,15,16,0.9906666874885559,0.9950000047683716,0.9975000023841858,728.2464599609375,910.9423828125,1.0666667222976685,1.0,0.5768750309944153,0.5621647834777832,-0.019387779757380486,0.0,23690.9375,25521.0,25472.0,25503.5,25518.900390625,0.25869407144081996,1.0018412527726523,743.0,799.0,796.0,798.0,798.8499755859375,0.25811506761676656,1.0035803713391163,,,,,1.5,5.313292845913063e-06,0,8.0,2000,0.00852025,17.0405,21.4115,21.675,7.5,0.0,0.0
