analysis_level,module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_duration_mean_s,local_avalanche_duration_max_s,local_avalanche_threshold,local_avalanche_threshold_mode,local_frac_silent_bins,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
3,11,16,2.8825,0.4612,0.6633962315238155,2.8547439683747005,1.0,2241,2241,2.0580098170459618,14.0,0.016836233824185632,0.09,0.0,silent_bins,0.6227,0.35692401960784315,0.21887022628859135,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,12,16,3.6125,0.578,0.7291885901466094,2.2389288367369202,1.0,2201,2201,2.6260790549750115,10.0,0.020726942298955022,0.07,0.0,silent_bins,0.5438,0.4414924338685457,0.1657999354999812,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,13,16,4.383125,0.7013,0.8066463351432275,2.232174759676909,1.0,2500,2500,2.8052,22.0,0.020692,0.17,0.0,silent_bins,0.4827,0.4230567226890756,0.19985844360790253,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,14,16,4.82375,0.7718,0.8133417240004351,1.9666538694173017,1.0,2238,2238,3.448614834673816,21.0,0.025411081322609476,0.16,0.0,silent_bins,0.4313,0.5154721183676716,0.26008318369127104,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,15,16,3.00375,0.4806,0.6769221816427646,2.756934189728848,1.0,2273,2273,2.1143862736471624,13.0,0.017105147382314122,0.09,0.0,silent_bins,0.6112,0.3684516035408504,0.18749354847314226,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,16,16,3.218125,0.5149,0.7041150403165665,2.833327152380818,1.0,2539,2539,2.027963765261914,9.0,0.01606538007089405,0.08,0.0,silent_bins,0.5921,0.2992902208201893,0.23863994657644264,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,17,16,3.4831250000000002,0.5573,0.7451957528059322,2.545068993816346,1.0,2271,2271,2.4539850286217524,15.0,0.01876706296785557,0.1,0.0,silent_bins,0.5738,0.4548394548394548,0.1680330997749262,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,18,16,2.531875,0.4051,0.6315013776707064,3.305655964272516,1.0,2241,2241,1.8076751450245425,10.0,0.014881749219098617,0.08,0.0,silent_bins,0.6665,0.287135749822317,0.20649795978126367,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,19,16,3.9324999999999997,0.6292,0.7508044752130877,2.460360950239462,1.0,2407,2407,2.6140423764021605,22.0,0.020186954715413378,0.14,0.0,silent_bins,0.5141,0.45752996352266806,0.24336811595974228,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,20,16,4.055625,0.6489,0.8184306873523255,2.155391467608946,1.0,2130,2130,3.046478873239437,17.0,0.021718309859154933,0.11,0.0,silent_bins,0.5374,0.5084403669724771,0.3387267148491174,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,21,16,2.090625,0.3345,0.5669301103310707,3.3494278656046177,1.0,1852,1852,1.8061555075593954,10.0,0.015637149028077755,0.08,0.0,silent_bins,0.7104,0.34525732748672977,0.12195788645271105,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,22,16,3.0056249999999998,0.4809,0.6767829711214667,2.9245587721253665,1.0,2395,2395,2.0079331941544885,9.0,0.016200417536534447,0.09,0.0,silent_bins,0.612,0.33222109386333964,0.096538038812717,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,23,16,5.5287500000000005,0.8846,0.9536680974007676,1.8229587415557127,1.0,2034,2034,4.349065880039332,19.0,0.028077679449360866,0.13,0.0,silent_bins,0.4289,0.5768071399018855,0.09931418996889405,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,24,16,3.388125,0.5421,0.7059940438842243,2.70580954743306,1.0,2509,2509,2.160621761658031,14.0,0.01723794340374651,0.13,0.0,silent_bins,0.5675,0.35390634860532627,0.2602814709947526,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,25,16,3.2325,0.5172,0.6898580723598152,2.8052874781803396,1.0,2480,2480,2.085483870967742,10.0,0.01679032258064516,0.09,0.0,silent_bins,0.5836,0.3415881561238223,0.27948776380323404,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,26,16,3.735625,0.5977,0.7678897772467087,2.4460305210993303,1.0,2357,2357,2.535850657615613,15.0,0.019126007636826474,0.12,0.0,silent_bins,0.5492,0.4217643951399894,0.1875001927764375,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,27,16,2.8825,0.4612,0.659162013468616,3.08457469498907,1.0,2433,2433,1.8956021372790792,9.0,0.015540484997944923,0.06,0.0,silent_bins,0.6219,0.301761433868974,0.34744792690308945,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,28,16,4.189375,0.6703,0.8536966147291436,2.3026027674396805,1.0,2462,2462,2.722583265637693,18.0,0.019212022745735177,0.13,0.0,silent_bins,0.527,0.3670316611493082,0.13338578897106337,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,29,16,2.846875,0.4555,0.6913897236725464,3.0734404398832886,1.0,2410,2410,1.8900414937759336,12.0,0.014846473029045643,0.08,0.0,silent_bins,0.6422,0.2651006711409396,0.11218915951747377,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,30,16,3.381875,0.5411,0.7088799545762314,2.7210334452892617,1.0,2510,2510,2.155776892430279,13.0,0.017151394422310756,0.08,0.0,silent_bins,0.5695,0.34934607645875254,0.1951654651981854,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,31,16,4.79375,0.767,0.8619228503758326,2.088801656451461,1.0,2297,2297,3.3391380060949065,26.0,0.0234262080975185,0.16,0.0,silent_bins,0.4619,0.5136435390513419,0.04594278589502135,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
