repeat,seed,condition,analysis_level,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,MV_slope,MV_r2,MV_nfit,TAU_slope,TAU_r2,TAU_nfit,KURT_slope,KURT_r2,KURT_nfit,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,global_avalanche_tau,global_avalanche_xmin,global_avalanche_n_tail,global_n_avalanches,global_avalanche_size_mean,global_avalanche_size_max,global_avalanche_duration_mean_s,global_avalanche_duration_max_s,global_avalanche_threshold,global_avalanche_threshold_mode,global_frac_silent_bins,global_branching_proxy,n_modules_used,local_tau_mean,local_tau_std,local_log_tau_std,local_av_tau_mean,local_av_tau_std,local_branch_mean,local_branch_std,local_rate_mean,local_rate_std,local_mean_frac_silent_bins,local_quantile_fallback_frac,n_rare_modules,rare_module_neuron_fraction,n_long_avalanches,long_avalanche_activity_in_rare_fraction,rare_enrichment,long_avalanche_module_gini_mean,long_avalanche_module_entropy_mean,long_avalanche_top_module_fraction_mean,delta_MV_slope,abs_delta_MV_slope,delta_TAU_slope,abs_delta_TAU_slope,delta_KURT_slope,abs_delta_KURT_slope,delta_global_avalanche_tau,abs_delta_global_avalanche_tau,delta_global_branching_proxy,abs_delta_global_branching_proxy,delta_local_log_tau_std,abs_delta_local_log_tau_std,delta_local_av_tau_std,abs_delta_local_av_tau_std,delta_local_branch_std,abs_delta_local_branch_std,delta_rare_enrichment,abs_delta_rare_enrichment,delta_long_avalanche_module_gini_mean,abs_delta_long_avalanche_module_gini_mean,delta_long_avalanche_top_module_fraction_mean,abs_delta_long_avalanche_top_module_fraction_mean,global_change_score,local_heterogeneity_change_score
0,12345,baseline,3,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2847817489794253,0.9975198286852346,9,0.04174480068012142,0.3004013261422184,9,-0.5145900931426942,0.9579302427738252,9,3.728115,3.7281150000000003,0.4962149703253621,1.987085804882756,79.0,1402,1746,233.8734249713631,1447.0,0.02832760595647194,0.17,74.0,quantile_fallback,0.0,0.9909332821714745,125,0.1958943081296071,0.060280112066617014,0.15240142280717983,2.5440328190534243,0.43391144002256926,0.4013973544977769,0.09218138039996793,3.728115,0.904919560061253,0.5498064,0.0,13,0.104,175,0.09947016150293835,0.9564438606051764,0.2556169375782399,0.9766135127981551,0.01938461920813319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12345,baseline,4,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2847817489794253,0.9975198286852346,9,0.04174480068012142,0.3004013261422184,9,-0.5145900931426942,0.9579302427738252,9,3.728115,3.7281150000000003,0.4962149703253621,1.987085804882756,79.0,1402,1746,233.8734249713631,1447.0,0.02832760595647194,0.17,74.0,quantile_fallback,0.0,0.9909332821714745,62,0.2044893829167638,0.061387043350642406,0.15875899585509887,2.0092435267324915,0.1745953664537718,0.5849278984137647,0.06421718425015209,3.7253326612903224,0.7161790840116691,0.307691935483871,0.0,7,0.11290322580645161,175,0.10850618491258772,0.9610547806543484,0.19429601729693144,0.9847567447211311,0.03181418053645471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12345,baseline,5,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2847817489794253,0.9975198286852346,9,0.04174480068012142,0.3004013261422184,9,-0.5145900931426942,0.9579302427738252,9,3.728115,3.7281150000000003,0.4962149703253621,1.987085804882756,79.0,1402,1746,233.8734249713631,1447.0,0.02832760595647194,0.17,74.0,quantile_fallback,0.0,0.9909332821714745,31,0.2147343473998904,0.06728563657888573,0.14680447033517918,1.769524764714714,0.10837254440375596,0.7473488940130965,0.038600475872608994,3.7253326612903224,0.5771595524584476,0.10037419354838709,0.0,4,0.12903225806451613,175,0.11391047746495789,0.8828062003534236,0.14978298030233253,0.9890013860862306,0.05349227571291386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12345,baseline,6,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2847817489794253,0.9975198286852346,9,0.04174480068012142,0.3004013261422184,9,-0.5145900931426942,0.9579302427738252,9,3.728115,3.7281150000000003,0.4962149703253621,1.987085804882756,79.0,1402,1746,233.8734249713631,1447.0,0.02832760595647194,0.17,74.0,quantile_fallback,0.0,0.9909332821714745,15,0.22564117172907458,0.042896812397895744,0.08075175761092629,1.9515237731332045,0.44366537088189223,0.8610120843775652,0.022017550717486234,3.7314999999999996,0.541622990365809,0.011526666666666664,0.3333333333333333,2,0.13333333333333333,175,0.1250365409657445,0.9377740572430838,0.1178833621204932,0.9910132273779517,0.0987577039702402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12345,baseline,7,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2847817489794253,0.9975198286852346,9,0.04174480068012142,0.3004013261422184,9,-0.5145900931426942,0.9579302427738252,9,3.728115,3.7281150000000003,0.4962149703253621,1.987085804882756,79.0,1402,1746,233.8734249713631,1447.0,0.02832760595647194,0.17,74.0,quantile_fallback,0.0,0.9909332821714745,7,0.24133361554066451,0.041665480518310656,0.07488245610561196,2.192876070184714,0.1681075926044719,0.9287055691664678,0.010114272555626337,3.729196428571428,0.5746834459578909,0.00024285714285714289,1.0,1,0.14285714285714285,175,0.13163683252427186,0.921457827669903,0.09829010314341519,0.9904626606249073,0.19487047732299198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12346,add_frac_0.1000_nadd_200,3,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2971138263853708,0.9982829143320763,9,0.04716028632065669,0.8905675023014322,9,-0.48740569963325464,0.9387609891168626,10,3.871231818181818,3.871231818181818,0.4720921817595716,2.005094937769302,90.0,1395,1718,263.71885913853316,2455.0,0.028131548311990686,0.25,85.0,quantile_fallback,0.0,0.9923760784133646,125,0.17405400132535265,0.05667152939399939,0.15180647637354203,2.6010977119866605,0.4981948306788504,0.3958022878670041,0.10500099137681347,3.9203249999999996,1.3414198208751402,0.5338607999999999,0.0,13,0.104,172,0.11797379998525327,1.1343634613966662,0.2743825046797423,0.9732757406825852,0.02205852240646909,0.01233207740594544,0.01233207740594544,0.005415485640535268,0.005415485640535268,0.027184393509439575,0.027184393509439575,0.01800913288654593,0.01800913288654593,0.001442796241890143,0.001442796241890143,-0.0005949464336378052,0.0005949464336378052,0.06428339065628114,0.06428339065628114,0.012819610976845544,0.012819610976845544,0.17791960079148983,0.17791960079148983,0.0187655671015024,0.0187655671015024,0.0026739031983359016,0.0026739031983359016,0.009299873043729196,0.02589931602225483
0,12346,add_frac_0.1000_nadd_200,4,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2971138263853708,0.9982829143320763,9,0.04716028632065669,0.8905675023014322,9,-0.48740569963325464,0.9387609891168626,10,3.871231818181818,3.871231818181818,0.4720921817595716,2.005094937769302,90.0,1395,1718,263.71885913853316,2455.0,0.028131548311990686,0.25,85.0,quantile_fallback,0.0,0.9923760784133646,62,0.1723022153790147,0.04732398077225777,0.12057759507254973,1.9961081008640615,0.15132752929745996,0.5788883635638797,0.08534194056469878,3.9224193548387096,1.1367098255529393,0.2923338709677419,0.016129032258064516,7,0.11290322580645161,172,0.12150265913520299,1.0761664094832264,0.21491367622739407,0.9813011778677939,0.036489043535428464,0.01233207740594544,0.01233207740594544,0.005415485640535268,0.005415485640535268,0.027184393509439575,0.027184393509439575,0.01800913288654593,0.01800913288654593,0.001442796241890143,0.001442796241890143,-0.03818140078254914,0.03818140078254914,-0.023267837156311838,0.023267837156311838,0.02112475631454669,0.02112475631454669,0.11511162882887804,0.11511162882887804,0.020617658930462635,0.020617658930462635,0.004674862998973753,0.004674862998973753,0.009299873043729196,0.02752466475113589
0,12346,add_frac_0.1000_nadd_200,5,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2971138263853708,0.9982829143320763,9,0.04716028632065669,0.8905675023014322,9,-0.48740569963325464,0.9387609891168626,10,3.871231818181818,3.871231818181818,0.4720921817595716,2.005094937769302,90.0,1395,1718,263.71885913853316,2455.0,0.028131548311990686,0.25,85.0,quantile_fallback,0.0,0.9923760784133646,31,0.17848848272890014,0.05451352858268474,0.136272475258616,1.8537027344086738,0.19961806063106574,0.741105910785969,0.05349823626074605,3.922419354838709,1.009548495853513,0.09404193548387096,0.06451612903225806,4,0.12903225806451613,172,0.13801076867175371,1.0695834572060914,0.17191723718634916,0.9849416553605295,0.06567075495097123,0.01233207740594544,0.01233207740594544,0.005415485640535268,0.005415485640535268,0.027184393509439575,0.027184393509439575,0.01800913288654593,0.01800913288654593,0.001442796241890143,0.001442796241890143,-0.010531995076563189,0.010531995076563189,0.09124551622730978,0.09124551622730978,0.014897760388137053,0.014897760388137053,0.18677725685266777,0.18677725685266777,0.02213425688401663,0.02213425688401663,0.012178479238057371,0.012178479238057371,0.009299873043729196,0.03889175723067001
0,12346,add_frac_0.1000_nadd_200,6,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2971138263853708,0.9982829143320763,9,0.04716028632065669,0.8905675023014322,9,-0.48740569963325464,0.9387609891168626,10,3.871231818181818,3.871231818181818,0.4720921817595716,2.005094937769302,90.0,1395,1718,263.71885913853316,2455.0,0.028131548311990686,0.25,85.0,quantile_fallback,0.0,0.9923760784133646,15,0.1821488757273238,0.06334780362907723,0.1675222538629912,2.045507152679472,0.4409522968236176,0.8584666336864815,0.031030134972124646,3.924369791666666,0.9775432358697961,0.01,0.4666666666666667,2,0.13333333333333333,172,0.1395251658678856,1.046438744009142,0.14395025469836564,0.9858807315609339,0.11735079514812556,0.01233207740594544,0.01233207740594544,0.005415485640535268,0.005415485640535268,0.027184393509439575,0.027184393509439575,0.01800913288654593,0.01800913288654593,0.001442796241890143,0.001442796241890143,0.0867704962520649,0.0867704962520649,-0.002713074058274645,0.002713074058274645,0.009012584254638412,0.009012584254638412,0.10866468676605823,0.10866468676605823,0.02606689257787244,0.02606689257787244,0.018593091177885365,0.018593091177885365,0.009299873043729196,0.03283205152165932
0,12346,add_frac_0.1000_nadd_200,7,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1.2971138263853708,0.9982829143320763,9,0.04716028632065669,0.8905675023014322,9,-0.48740569963325464,0.9387609891168626,10,3.871231818181818,3.871231818181818,0.4720921817595716,2.005094937769302,90.0,1395,1718,263.71885913853316,2455.0,0.028131548311990686,0.25,85.0,quantile_fallback,0.0,0.9923760784133646,7,0.18763859386644993,0.05166195721212707,0.1302976205401938,2.321727172839309,0.2691152838220539,0.9305871141702945,0.0129977365499309,3.707360491071429,0.5053382284035421,0.0001142857142857143,1.0,1,0.14285714285714285,172,0.19101675805379154,1.337117306376541,0.09375843070561955,0.9912570206490423,0.19295775318942665,0.01233207740594544,0.01233207740594544,0.005415485640535268,0.005415485640535268,0.027184393509439575,0.027184393509439575,0.01800913288654593,0.01800913288654593,0.001442796241890143,0.001442796241890143,0.055415164434581846,0.055415164434581846,0.10100769121758202,0.10100769121758202,0.0028834639943045633,0.0028834639943045633,0.4156594787066379,0.4156594787066379,-0.0045316724377956336,0.0045316724377956336,-0.00191272413356533,0.00191272413356533,0.009299873043729196,0.0531021065488228
