generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
2,550,4.0,2.009634256362915,2.009634256362915,0.20319962936397296,28.090512113061155,3.871231818181818,3.871231818181818,0.4720921817595716,8.3496013324764,1.1116040195793468,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
3,275,8.0,5.380852222442627,5.380852222442627,0.21578197692460122,24.46973008769561,3.871231818181818,3.871231818181818,0.4720921817595716,22.3562923174276,1.180435779597402,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
4,138,15.942028985507246,13.892091751098633,13.892091751098633,0.22415046221178725,17.835354125812152,3.871231818181818,3.871231818181818,0.4720921817595716,57.71867563891217,1.2262155967759265,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
5,69,31.884057971014492,34.17709732055664,34.17709732055664,0.23341420787126976,11.328666897436435,3.871231818181818,3.871231818181818,0.4720921817595716,141.9985434784318,1.2768929377911324,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
6,35,62.857142857142854,79.53766632080078,79.53766632080078,0.24252134771094766,6.168269545469003,3.871231818181818,3.871231818181818,0.4720921817595716,330.46202441639304,1.3267135663244838,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
7,18,122.22222222222223,174.96609497070312,174.96609497070312,0.24491230347948217,7.07749191484253,3.871231818181818,3.871231818181818,0.4720921817595716,726.9467740610386,1.3397932951175846,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
8,9,244.44444444444446,403.8002014160156,403.8002014160156,0.25475423342392656,3.2196009530700294,3.871231818181818,3.871231818181818,0.4720921817595716,1677.7036364315136,1.3936335945359772,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
9,5,440.0,819.6530151367188,819.6530151367188,0.2421505799105258,1.8164913567616425,3.871231818181818,3.871231818181818,0.4720921817595716,3405.4833040813496,1.324685280256396,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
0,2600,1.0,0.26613572239875793,0.26613572239875793,0.17434403109589047,37.82631139528676,5.321819230769231,5.321819230769231,0.5393522724818733,1.0,1.0,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
1,1300,2.0,0.8059984445571899,0.8059984445571899,0.1837534940424454,32.8490166084344,5.321819230769231,5.321819230769231,0.5393522724818733,3.0285240827217548,1.0539706629897736,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
