repeat,seed,condition,analysis_level,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,MV_slope,MV_r2,MV_nfit,TAU_slope,TAU_r2,TAU_nfit,KURT_slope,KURT_r2,KURT_nfit,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,global_avalanche_tau,global_avalanche_xmin,global_avalanche_n_tail,global_n_avalanches,global_avalanche_size_mean,global_avalanche_size_max,global_avalanche_threshold,global_branching_proxy,n_modules_used,local_tau_mean,local_tau_std,local_log_tau_std,local_av_tau_mean,local_av_tau_std,local_branch_mean,local_branch_std,local_rate_mean,local_rate_std,n_rare_modules,rare_module_neuron_fraction,n_long_avalanches,long_avalanche_activity_in_rare_fraction,rare_enrichment,long_avalanche_module_gini_mean,long_avalanche_module_entropy_mean,long_avalanche_top_module_fraction_mean,delta_MV_slope,abs_delta_MV_slope,delta_TAU_slope,abs_delta_TAU_slope,delta_KURT_slope,abs_delta_KURT_slope,delta_global_avalanche_tau,abs_delta_global_avalanche_tau,delta_global_branching_proxy,abs_delta_global_branching_proxy,delta_local_log_tau_std,abs_delta_local_log_tau_std,delta_local_av_tau_std,abs_delta_local_av_tau_std,delta_local_branch_std,abs_delta_local_branch_std,delta_rare_enrichment,abs_delta_rare_enrichment,global_change_score,local_heterogeneity_change_score
0,12345,baseline,5,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,1.6645869978812624,0.9999564448411539,7,0.07534071510012408,0.5415267768838375,7,-0.04269238118437949,0.9670614641188884,8,3.7705,3.7705,0.503869774842667,2.1104643856849252,81.0,78,97,204.95876288659792,942.0,76.0,0.9911547598699303,31,0.021755004328351767,0.117188655835828,0.5619743845380076,1.8289289734626026,0.1875124819794099,0.7516829426967152,0.03687242352344372,3.765625000000001,0.6013369436444652,4,0.12903225806451613,10,0.1433783290769792,1.1111820503465888,0.16280916561843262,0.9858783286614242,0.057015536249476306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12346,add_frac_0.1000_nadd_200,5,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,1.6615300314828116,0.9999301342890554,7,0.17188889191275794,0.9841396419967572,7,-0.04903648175427927,0.8911180180890663,8,3.7931818181818184,3.793181818181818,0.5184598536383611,1.881835440777723,90.0,61,76,291.9342105263158,1110.0,84.0,0.9931621056202646,31,-0.06610981617459337,0.13139008552151576,0.4323602877155746,1.883155961752102,0.21970310434663856,0.7439039666107475,0.05913583479926919,3.834274193548387,0.9749210317482957,4,0.12903225806451613,8,0.11984113279226385,0.9287687791400449,0.16298432868609083,0.9864165906529655,0.06547222151240421,-0.0030569663984507667,0.0030569663984507667,0.09654817681263386,0.09654817681263386,-0.0063441005698997785,0.0063441005698997785,-0.22862894490720231,0.22862894490720231,0.002007345750334344,0.002007345750334344,-0.12961409682243302,0.12961409682243302,0.032190622367228666,0.032190622367228666,0.02226341127582547,0.02226341127582547,-0.18241327120654394,0.18241327120654394,0.08256035846715531,0.061356043488495715
0,12347,add_frac_0.3000_nadd_600,5,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,1.7152083217142904,0.9999889452404802,7,-0.07971164283728,0.47173955552560076,7,-0.029419224670693824,0.9304539709729183,8,5.339076923076923,5.339076923076923,0.5741705414342394,1.8941400034603735,151.4,62,78,476.65384615384613,2138.0,139.0,0.9954747449342849,31,0.02854713297290539,0.11673984621518418,0.4626701809393943,2.051280099361283,0.5004908030872067,0.8049372967915825,0.03767396465019712,5.390725806451614,0.9554113574242047,4,0.12903225806451613,8,0.13935103244837757,1.0799705014749261,0.12661795864638561,0.9923636698121876,0.0509829408731087,0.050621323833027976,0.050621323833027976,-0.15505235793740407,0.15505235793740407,0.013273156513685668,0.013273156513685668,-0.21632438222455175,0.21632438222455175,0.004319985064354603,0.004319985064354603,-0.0993042035986133,0.0993042035986133,0.31297832110779683,0.31297832110779683,0.0008015411267534023,0.0008015411267534023,-0.031211548871662664,0.031211548871662664,0.1065795122648346,0.13769468861105452
1,22345,baseline,5,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1.653260570984544,0.999858157533358,7,0.04697854104503372,0.42520160920271777,7,-0.033627119592452764,0.9749327432636866,8,3.7563,3.7563,0.5290985824966836,1.9405938755127146,83.2,65,82,238.6341463414634,951.0,75.0,0.9911532389869288,31,0.055879537775278335,0.1010297608221321,0.35028256870433766,1.8468322709474636,0.14918922640325258,0.7378766314811117,0.05833092886435386,3.7481854838709676,0.7429831367751613,4,0.12903225806451613,9,0.12055789071455865,0.9343236530378296,0.15273120839602436,0.9880005882747138,0.06047790060217476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22346,add_frac_0.1000_nadd_200,5,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1.6731919338047894,0.9999850862497612,7,0.07014659984055215,0.816429716911518,7,-0.023088785899469583,0.9081752834373036,8,3.912090909090909,3.912090909090909,0.487211758397374,1.9282310571127266,92.0,71,88,267.42045454545456,805.0,85.0,0.9932277667422362,31,0.010953160091417877,0.135011754082338,0.5942221950123667,1.8016726283224545,0.1464115519595522,0.7560880525454071,0.04729539079157842,3.939818548387097,0.7041141041812677,4,0.12903225806451613,9,0.12713053940244637,0.9852616803689593,0.15610860891515324,0.9882177867800418,0.05420753416399423,0.019931362820245324,0.019931362820245324,0.023168058795518427,0.023168058795518427,0.010538333692983182,0.010538333692983182,-0.012362818399987985,0.012362818399987985,0.002074527755307476,0.002074527755307476,0.24393962630802907,0.24393962630802907,-0.0027776744437003897,0.0027776744437003897,-0.011035538072775443,0.011035538072775443,0.05093802733112973,0.05093802733112973,0.014384191942764803,0.08591761294150163
1,22347,add_frac_0.3000_nadd_600,5,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,1.7240205514282154,0.999984573171694,7,-0.26009849953714226,0.45046979885266747,7,-0.05140709305399367,0.9528023786275143,8,5.849076923076923,5.849076923076922,0.6066327471714895,1.912330536806229,159.6,63,79,497.60759493670884,2044.0,153.0,0.9962347843275928,31,0.06926866720890348,0.07399447481021462,0.33087110096099553,2.1586070521913423,0.5481557689077499,0.8094959057280744,0.03615404349688144,5.795665322580645,1.3039662246341197,4,0.12903225806451613,8,0.13108444645687117,1.0159044600407516,0.1235119617484983,0.9916132478903452,0.06339899084030284,0.07075998044367138,0.07075998044367138,-0.307077040582176,0.307077040582176,-0.017779973461540907,0.017779973461540907,-0.028263338706485452,0.028263338706485452,0.005081545340664073,0.005081545340664073,-0.019411467743342126,0.019411467743342126,0.39896654250449726,0.39896654250449726,-0.02217688536747242,0.02217688536747242,0.08158080700292203,0.08158080700292203,0.10279547626824923,0.1468516318717706
