module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
18,64,4.1312500000000005,2.644,1.601644155235488,1.8818884709769406,14.200000000000001,23,29,45.58620689655172,131.0,0.0,0.8063638266694578,-0.12123202250817053,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
19,64,3.6562499999999996,2.34,1.4927826365549677,1.9855804493221576,8.0,37,45,26.0,150.0,0.0,0.7213114754098361,0.25196104912155676,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
20,64,4.76875,3.052,1.8420901172309676,1.5574432350325274,7.800000000000001,22,28,54.5,208.0,0.0,0.8016685030694161,0.0009550544901671398,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
21,64,5.08125,3.252,1.8537788433359574,1.7916496766563124,18.0,18,22,73.9090909090909,287.0,0.0,0.8112048020580249,0.25439660057493785,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
22,64,3.346875,2.142,1.4621340567813883,1.6588246320019762,5.0,34,41,26.121951219512194,109.0,0.0,0.7920880428316478,-0.052763353131286855,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
23,64,3.65,2.336,1.4896657343176019,1.8705732670387871,9.0,33,41,28.48780487804878,123.0,0.0,0.7498045347928068,0.11578223126508197,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
24,64,3.728125,2.386,1.4983337411938635,2.0585821760320084,11.8,32,40,29.825,116.0,0.0,0.7865423387096774,-0.14489435872487275,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
25,64,3.41875,2.188,1.4562472317570254,1.7382979838768757,4.800000000000001,44,55,19.89090909090909,92.0,0.0,0.7076923076923077,0.09063433722908465,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
26,64,3.65,2.336,1.546319501267445,1.5522034759316259,4.0,32,39,29.94871794871795,113.0,0.0,0.7494264593423401,0.018250631536116224,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
27,64,3.15,2.016,1.34601040114852,2.158536888567716,8.0,42,52,19.384615384615383,70.0,0.0,0.7191547375596455,0.05700480475801495,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
28,64,2.8125,1.8,1.2884098726725126,1.8506854205915029,4.4,50,63,14.285714285714286,48.0,0.0,0.7383483237939493,0.07171084390673485,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
29,64,3.2375,2.072,1.4404221603405023,1.7550224215868275,5.4,38,48,21.583333333333332,95.0,0.0,0.710062893081761,-0.012393959527850731,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
30,64,3.5874999999999995,2.296,1.4967912346082202,2.232899718225277,13.0,32,39,29.435897435897434,122.0,0.0,0.736856151587937,0.03587093907017064,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
